Date,Year,Ships,Country,Sorties_D0,Sorties_Total_5d,Sorties_Prev_5d,Increase,Unnamed: 8,Ship_Type,Hull_Number,Mission_Note,Date_Precision,Date_Note,Source,Country_Confidence,
2023/9/9,2023,美國海軍拉爾夫、加拿大渥太華驅逐艦艦通過,Multi (US+Canada),8.0,169.0,11.0,158.0,,驅逐艦,,,exact,,,medium,
2023/9/18,2023,中國西太平洋聯合軍演（2023/09/18）,Other,55.0,141.0,206.0,-65.0,,,,,exact,,,,
2023/11/1,2023,美國海軍拉菲爾 、加拿大渥太華驅逐艦艦通過,Multi (US+Canada),13.0,92.0,69.0,23.0,,驅逐艦,,,exact,,,medium,
2024/5/31,2024,荷蘭皇家海軍巡防艦「卓普號」（HNLMS Tromp）,Multi (UK+Netherlands),9.0,57.0,82.0,-25.0,,巡防艦,,,exact,,,high,
2024/6/1,2024,土耳其海軍巡防艦「克納勒島號」（TCG Kinaliada）,Turkey,2.0,54.0,84.0,-30.0,,巡防艦,,,exact,,,medium,
2024/7/31,2024,加拿大海軍巡防艦「蒙特婁號」（HMCS Montréal）,Canada,0.0,92.0,57.0,35.0,,巡防艦,,,exact,,,high,
2024/9/13,2024,德國海軍巡防艦「巴登-符騰堡號」（FGS Baden-Württemberg）和補給艦「美茵河畔法蘭克福號」（FGS Frankfurt am Main）,Multi (US+Germany+France),11.0,86.0,73.0,13.0,,補給艦、巡防艦,,,exact,,,high,
2024/9/25,2024,澳洲皇家海軍飛彈驅逐艦「雪梨號」（HMAS Sydney）紐西蘭皇家海軍補給艦「奧特亞羅瓦號」（HMNZS Aotearoa）日本海上自衛隊巡防艦「漣號」（さざなみ，Sazanami）,Multi (UK+Japan+Australia+New Zealand),11.0,70.0,59.0,11.0,,飛彈驅逐艦、補給艦、巡防艦,,,exact,,,high,
2024/10/20,2024,加拿大海軍巡防艦「溫哥華號」（HMCS Vancouver）美國海軍飛彈驅逐艦「希金斯號」（USS Higgins）通過台灣海峽,Multi (US+Canada),6.0,73.0,85.0,-12.0,,飛彈驅逐艦、巡防艦,,,exact,,,high,
2024/10/28,2024,法國海軍巡防艦「牧月號」（FNS Prairial）,France,6.0,56.0,68.0,-12.0,,巡防艦,,,exact,,,high,
2025/2/2,2025,日本海上自衛隊驅逐艦「秋月號」（あきづき，Akizuki）由北向南穿越,Japan,21.0,80.0,28.0,52.0,,驅逐艦,,,exact,,,medium,
2025/2/16,2025,加拿大海軍的哈利法克斯級巡防艦「渥太華號」通過台灣海峽,Multi (Canada+France),4.0,53.0,92.0,-39.0,,巡防艦,,,exact,,,medium,
2025/2/26,2025,共軍派出32架戰機執行聯合戰備警巡，並在高屏外海無預警宣布射擊訓練同時英國海軍巡邏艦「史佩號」(HMS Spey)通過台海,UK,11.0,102.0,12.0,90.0,,巡邏艦,,,exact,,,high,
2025/6/18,2025,英國皇家海軍巡邏艦「史佩號」通過台灣海峽,UK,7.0,139.0,32.0,107.0,,巡邏艦,,,exact,,,medium,
2025/9/6,2025,加拿大海軍巡防艦「魁北克城號」與澳洲海軍驅逐艦「布里斯本號」編隊通過台灣海峽,Multi (Canada+Australia),28.0,106.0,50.0,56.0,,驅逐艦、巡防艦,,,exact,,,medium,
2025/9/12,2025,中國第三艘航空母艦「福建號」通過台灣海峽 美國海軍驅逐艦「希金斯號」與英國皇家海軍護衛艦「里契蒙號」編隊通過台灣海峽,Multi (US+UK),22.0,161.0,78.0,83.0,,驅逐艦、護衛艦、航空母艦,,,exact,,,medium,
2025/9/13,2025,美國海軍驅逐艦「希金斯號」與英國皇家海軍護衛艦「裡契蒙號」,Multi (US+UK+Australia),31.0,146.0,79.0,67.0,,驅逐艦、護衛艦,,,exact,,,medium,
2025/11/5,2025,紐西蘭補給艦奧特亞羅瓦號（HMNZS Aotearoa）通過臺灣海峽,New Zealand,,,,,,補給艦,,,exact,,,high,
2025/12/11,2025,越南證實軍艦12月11左右通過臺灣海峽,Vietnam,,,,,,,,,exact,,,medium,
