date,days_ahead,airport_icao,airport_iata,airport_name,city,temp_min,temp_max,wind_avg,wind_max,gust_max,precip_total,cloud_avg,flight_ok_count,flight_total_count,flight_ok_ratio,daily_risk,updated_at
2026-09-20,0,ZGGG,CAN,廣州白雲國際機場,廣州,24.7,32.5,3.6,5.8,7.6,0.0,29.2,8,8,100.0,LOW,2026-09-20 05:03:11
2026-09-20,0,ZSFZ,FOC,福州長樂國際機場,福州,23.9,28.4,6.5,8.8,10.4,0.0,28.8,8,8,100.0,LOW,2026-09-20 05:03:11
2026-09-20,0,ZSPD,PVG,上海浦東國際機場,上海,22.9,25.5,8.4,14.6,12.2,0.0,45.6,7,8,87.5,HIGH,2026-09-20 05:03:11
