Model,RMSE,MAE,R2
Conservative,3.3481025168445178,2.0017301202422173,0.9459483238477857
Balanced,3.084915775145187,1.3621887726379636,0.9541120882907033
Aggressive,3.2126667430179996,1.2731512768527564,0.9502328207073558
